Frame,Visibility,X,Y,Time
166,1,573,210,00:00:05.533333333333333
167,1,571,220,00:00:05.566666666666666
168,1,630,197,00:00:05.6
169,1,653,176,00:00:05.633333333333333
170,1,680,167,00:00:05.666666666666667
171,1,701,160,00:00:05.7
172,1,715,156,00:00:05.733333333333333
173,1,728,151,00:00:05.766666666666667
174,1,741,150,00:00:05.8
175,1,750,150,00:00:05.833333333333333
176,1,758,148,00:00:05.866666666666666
177,1,766,151,00:00:05.9
178,1,773,152,00:00:05.933333333333334
179,1,778,156,00:00:05.966666666666667
180,1,785,157,00:00:06.0
181,1,790,161,00:00:06.033333333333333
182,1,793,165,00:00:06.066666666666666
183,1,798,168,00:00:06.1
184,1,803,173,00:00:06.133333333333333
185,1,806,177,00:00:06.166666666666667
186,1,811,183,00:00:06.2
187,1,813,188,00:00:06.233333333333333
188,1,816,196,00:00:06.266666666666667
189,1,821,202,00:00:06.3
190,1,823,208,00:00:06.333333333333333
191,1,826,216,00:00:06.366666666666666
192,1,828,223,00:00:06.4
193,1,831,231,00:00:06.433333333333334
194,0,0,0,00:00:06.466666666666667
195,0,0,0,00:00:06.5
196,1,838,256,00:00:06.533333333333333
197,1,841,263,00:00:06.566666666666666
198,1,843,272,00:00:06.6
199,1,846,281,00:00:06.633333333333333
200,1,846,291,00:00:06.666666666666667
201,1,848,300,00:00:06.7
202,1,851,308,00:00:06.733333333333333
203,1,851,317,00:00:06.766666666666667
204,1,853,327,00:00:06.8
205,1,856,337,00:00:06.833333333333333
206,1,856,347,00:00:06.866666666666666
207,1,858,357,00:00:06.8999999999999995
208,1,861,367,00:00:06.933333333333334
209,1,861,378,00:00:06.966666666666667
210,1,861,383,00:00:07.0
211,1,858,376,00:00:07.033333333333333
212,1,858,362,00:00:07.066666666666666
213,1,851,351,00:00:07.1
214,1,848,343,00:00:07.133333333333333
215,1,848,336,00:00:07.166666666666667
216,1,845,326,00:00:07.2
217,1,841,321,00:00:07.233333333333333
218,1,836,318,00:00:07.266666666666667
219,1,836,315,00:00:07.3
220,1,833,311,00:00:07.333333333333333
221,1,831,308,00:00:07.366666666666666
222,1,828,306,00:00:07.3999999999999995
223,1,826,306,00:00:07.433333333333334
224,1,822,306,00:00:07.466666666666667
225,1,821,306,00:00:07.5
226,1,817,308,00:00:07.533333333333333
227,1,815,311,00:00:07.566666666666666
228,1,812,316,00:00:07.6
229,1,811,321,00:00:07.633333333333333
230,1,808,326,00:00:07.666666666666667
231,1,806,333,00:00:07.7
232,1,801,341,00:00:07.733333333333333
233,1,801,350,00:00:07.766666666666667
234,1,797,358,00:00:07.8
235,1,795,371,00:00:07.833333333333333
236,1,793,383,00:00:07.866666666666666
237,1,790,396,00:00:07.8999999999999995
238,1,788,408,00:00:07.933333333333334
239,1,786,421,00:00:07.966666666666667
240,0,0,0,00:00:08.0
241,0,0,0,00:00:08.033333333333333
242,0,0,0,00:00:08.066666666666666
243,1,711,371,00:00:08.1
244,1,701,367,00:00:08.133333333333333
245,1,683,360,00:00:08.166666666666666
246,1,670,361,00:00:08.2
247,1,658,358,00:00:08.233333333333333
248,1,652,356,00:00:08.266666666666666
249,1,643,356,00:00:08.3
250,1,635,356,00:00:08.333333333333334
251,1,628,357,00:00:08.366666666666667
252,1,623,360,00:00:08.4
253,1,616,362,00:00:08.433333333333334
254,0,0,0,00:00:08.466666666666667
255,1,603,371,00:00:08.5
256,1,600,373,00:00:08.533333333333333
257,1,596,378,00:00:08.566666666666666
258,1,592,383,00:00:08.6
259,1,588,388,00:00:08.633333333333333
260,1,586,395,00:00:08.666666666666666
261,1,580,402,00:00:08.7
262,1,576,408,00:00:08.733333333333333
263,1,573,416,00:00:08.766666666666666
264,1,571,423,00:00:08.8
265,1,567,431,00:00:08.833333333333334
266,1,566,438,00:00:08.866666666666667
267,1,562,448,00:00:08.9
268,1,561,456,00:00:08.933333333333334
269,1,558,466,00:00:08.966666666666667
270,1,556,473,00:00:09.0
271,1,553,483,00:00:09.033333333333333
272,1,551,488,00:00:09.066666666666666
273,1,551,483,00:00:09.1
274,1,551,481,00:00:09.133333333333333
275,1,550,480,00:00:09.166666666666666
276,1,551,478,00:00:09.2
277,1,551,477,00:00:09.233333333333333
278,1,551,476,00:00:09.266666666666666
279,0,0,0,00:00:09.3
280,0,0,0,00:00:09.333333333333334
281,0,0,0,00:00:09.366666666666667
282,1,551,473,00:00:09.4
283,1,551,476,00:00:09.433333333333334
284,1,551,478,00:00:09.466666666666667
285,1,551,483,00:00:09.5
286,1,551,486,00:00:09.533333333333333
287,1,551,491,00:00:09.566666666666666
288,1,551,488,00:00:09.6
289,1,551,486,00:00:09.633333333333333
290,1,551,486,00:00:09.666666666666666
291,1,551,486,00:00:09.7
292,1,551,487,00:00:09.733333333333333
293,1,551,488,00:00:09.766666666666666
294,1,553,487,00:00:09.8
295,1,552,487,00:00:09.833333333333334
296,1,552,487,00:00:09.866666666666667
297,0,0,0,00:00:09.9
298,0,0,0,00:00:09.933333333333334
299,0,0,0,00:00:09.966666666666667
300,1,551,490,00:00:10.0
301,1,551,490,00:00:10.033333333333333
302,1,551,491,00:00:10.066666666666666
303,0,0,0,00:00:10.1
304,0,0,0,00:00:10.133333333333333
305,0,0,0,00:00:10.166666666666666
306,0,0,0,00:00:10.2
307,0,0,0,00:00:10.233333333333333
308,0,0,0,00:00:10.266666666666666
309,0,0,0,00:00:10.3
310,0,0,0,00:00:10.333333333333334
311,0,0,0,00:00:10.366666666666667
312,0,0,0,00:00:10.4
313,0,0,0,00:00:10.433333333333334
314,0,0,0,00:00:10.466666666666667
315,0,0,0,00:00:10.5
316,0,0,0,00:00:10.533333333333333
317,0,0,0,00:00:10.566666666666666
318,0,0,0,00:00:10.6
319,0,0,0,00:00:10.633333333333333
320,0,0,0,00:00:10.666666666666666
321,0,0,0,00:00:10.7
322,0,0,0,00:00:10.733333333333333
323,0,0,0,00:00:10.766666666666666
324,0,0,0,00:00:10.8
325,0,0,0,00:00:10.833333333333334
326,0,0,0,00:00:10.866666666666667
327,0,0,0,00:00:10.9
328,0,0,0,00:00:10.933333333333334
329,0,0,0,00:00:10.966666666666667
330,0,0,0,00:00:11.0
331,0,0,0,00:00:11.033333333333333
332,0,0,0,00:00:11.066666666666666
333,0,0,0,00:00:11.1
334,0,0,0,00:00:11.133333333333333
335,0,0,0,00:00:11.166666666666666
336,0,0,0,00:00:11.2
337,0,0,0,00:00:11.233333333333333
338,0,0,0,00:00:11.266666666666666
339,0,0,0,00:00:11.3
340,0,0,0,00:00:11.333333333333334
341,0,0,0,00:00:11.366666666666667
342,0,0,0,00:00:11.4
343,0,0,0,00:00:11.433333333333334
344,0,0,0,00:00:11.466666666666667
345,0,0,0,00:00:11.5
346,0,0,0,00:00:11.533333333333333
347,0,0,0,00:00:11.566666666666666
348,0,0,0,00:00:11.6
349,0,0,0,00:00:11.633333333333333
350,0,0,0,00:00:11.666666666666666
351,0,0,0,00:00:11.7
352,0,0,0,00:00:11.733333333333333
353,0,0,0,00:00:11.766666666666666
354,0,0,0,00:00:11.8
355,0,0,0,00:00:11.833333333333334
356,0,0,0,00:00:11.866666666666667
357,0,0,0,00:00:11.9
358,0,0,0,00:00:11.933333333333334
359,0,0,0,00:00:11.966666666666667
360,0,0,0,00:00:12.0
361,0,0,0,00:00:12.033333333333333
362,0,0,0,00:00:12.066666666666666
363,0,0,0,00:00:12.1
364,0,0,0,00:00:12.133333333333333
365,0,0,0,00:00:12.166666666666666
366,0,0,0,00:00:12.2
367,0,0,0,00:00:12.233333333333333
368,0,0,0,00:00:12.266666666666666
369,0,0,0,00:00:12.3
370,0,0,0,00:00:12.333333333333334
371,0,0,0,00:00:12.366666666666667
372,0,0,0,00:00:12.4
373,0,0,0,00:00:12.433333333333334
374,0,0,0,00:00:12.466666666666667
375,0,0,0,00:00:12.5
376,0,0,0,00:00:12.533333333333333
377,0,0,0,00:00:12.566666666666666
378,0,0,0,00:00:12.6
379,0,0,0,00:00:12.633333333333333
380,0,0,0,00:00:12.666666666666666
381,0,0,0,00:00:12.7
382,0,0,0,00:00:12.733333333333333
383,0,0,0,00:00:12.766666666666666
384,0,0,0,00:00:12.8
385,0,0,0,00:00:12.833333333333334
386,0,0,0,00:00:12.866666666666667
387,0,0,0,00:00:12.9
388,0,0,0,00:00:12.933333333333334
389,0,0,0,00:00:12.966666666666667
390,0,0,0,00:00:13.0
391,0,0,0,00:00:13.033333333333333
392,0,0,0,00:00:13.066666666666666
393,0,0,0,00:00:13.1
394,0,0,0,00:00:13.133333333333333
395,0,0,0,00:00:13.166666666666666
396,0,0,0,00:00:13.2
397,0,0,0,00:00:13.233333333333333
398,0,0,0,00:00:13.266666666666666
399,0,0,0,00:00:13.299999999999999
400,0,0,0,00:00:13.333333333333334
401,0,0,0,00:00:13.366666666666667
402,0,0,0,00:00:13.4
403,0,0,0,00:00:13.433333333333334
404,0,0,0,00:00:13.466666666666667
405,0,0,0,00:00:13.5
406,0,0,0,00:00:13.533333333333333
407,0,0,0,00:00:13.566666666666666
408,0,0,0,00:00:13.6
409,0,0,0,00:00:13.633333333333333
410,0,0,0,00:00:13.666666666666666
411,0,0,0,00:00:13.7
412,0,0,0,00:00:13.733333333333333
413,0,0,0,00:00:13.766666666666666
414,0,0,0,00:00:13.799999999999999
415,0,0,0,00:00:13.833333333333334
416,0,0,0,00:00:13.866666666666667
417,0,0,0,00:00:13.9
418,0,0,0,00:00:13.933333333333334
419,0,0,0,00:00:13.966666666666667
420,0,0,0,00:00:14.0
421,0,0,0,00:00:14.033333333333333
422,0,0,0,00:00:14.066666666666666
423,0,0,0,00:00:14.1
424,0,0,0,00:00:14.133333333333333
425,0,0,0,00:00:14.166666666666666
426,0,0,0,00:00:14.2
427,0,0,0,00:00:14.233333333333333
428,0,0,0,00:00:14.266666666666666
429,0,0,0,00:00:14.299999999999999
430,0,0,0,00:00:14.333333333333334
431,0,0,0,00:00:14.366666666666667
432,0,0,0,00:00:14.4
433,1,597,426,00:00:14.433333333333334
434,1,597,426,00:00:14.466666666666667
435,0,0,0,00:00:14.5
436,0,0,0,00:00:14.533333333333333
437,1,592,417,00:00:14.566666666666666
438,1,592,418,00:00:14.6
439,1,592,417,00:00:14.633333333333333
440,1,591,417,00:00:14.666666666666666
441,1,588,416,00:00:14.7
442,1,587,416,00:00:14.733333333333333
443,1,587,415,00:00:14.766666666666666
444,0,0,0,00:00:14.799999999999999
445,0,0,0,00:00:14.833333333333334
446,0,0,0,00:00:14.866666666666667
447,0,0,0,00:00:14.9
448,0,0,0,00:00:14.933333333333334
449,0,0,0,00:00:14.966666666666667
450,0,0,0,00:00:15.0
451,1,591,416,00:00:15.033333333333333
452,1,588,417,00:00:15.066666666666666
453,1,591,420,00:00:15.1
454,1,591,422,00:00:15.133333333333333
455,1,588,426,00:00:15.166666666666666
456,1,591,430,00:00:15.2
457,1,592,432,00:00:15.233333333333333
458,0,0,0,00:00:15.266666666666666
459,0,0,0,00:00:15.299999999999999
460,0,0,0,00:00:15.333333333333334
461,1,602,358,00:00:15.366666666666667
462,1,606,342,00:00:15.4
463,1,608,330,00:00:15.433333333333334
464,1,611,316,00:00:15.466666666666667
465,1,613,305,00:00:15.5
466,1,616,293,00:00:15.533333333333333
467,1,618,283,00:00:15.566666666666666
468,1,621,275,00:00:15.6
469,1,623,266,00:00:15.633333333333333
470,1,626,258,00:00:15.666666666666666
471,1,628,252,00:00:15.7
472,1,631,246,00:00:15.733333333333333
473,1,633,242,00:00:15.766666666666666
474,1,636,238,00:00:15.799999999999999
475,1,637,235,00:00:15.833333333333334
476,1,641,233,00:00:15.866666666666667
477,1,642,231,00:00:15.9
478,1,646,232,00:00:15.933333333333334
479,1,648,232,00:00:15.966666666666667
480,1,650,233,00:00:16.0
481,1,651,237,00:00:16.03333333333333
482,1,653,241,00:00:16.066666666666666
483,1,656,246,00:00:16.1
484,1,658,253,00:00:16.133333333333333
485,1,661,261,00:00:16.166666666666668
486,1,662,271,00:00:16.2
487,1,663,281,00:00:16.233333333333334
488,1,666,292,00:00:16.266666666666666
489,1,666,303,00:00:16.3
490,1,670,316,00:00:16.333333333333332
491,1,675,296,00:00:16.366666666666667
492,1,680,281,00:00:16.4
493,1,681,267,00:00:16.433333333333334
494,1,678,256,00:00:16.466666666666665
495,1,681,247,00:00:16.5
496,1,681,243,00:00:16.53333333333333
497,1,681,241,00:00:16.566666666666666
498,1,681,238,00:00:16.6
499,1,681,236,00:00:16.633333333333333
500,1,681,236,00:00:16.666666666666668
501,1,681,236,00:00:16.7
502,1,681,236,00:00:16.733333333333334
503,1,681,238,00:00:16.766666666666666
504,1,681,240,00:00:16.8
505,1,681,242,00:00:16.833333333333332
506,1,681,245,00:00:16.866666666666667
507,1,681,248,00:00:16.9
508,1,681,253,00:00:16.933333333333334
509,1,681,257,00:00:16.966666666666665
510,1,681,262,00:00:17.0
511,1,681,268,00:00:17.03333333333333
512,1,681,275,00:00:17.066666666666666
513,1,681,281,00:00:17.1
514,1,681,286,00:00:17.133333333333333
515,1,681,293,00:00:17.166666666666668
516,1,681,301,00:00:17.2
517,1,682,308,00:00:17.233333333333334
518,1,682,316,00:00:17.266666666666666
519,1,682,323,00:00:17.3
520,1,683,331,00:00:17.333333333333332
521,1,683,340,00:00:17.366666666666667
522,1,683,348,00:00:17.4
523,1,683,356,00:00:17.433333333333334
524,0,0,0,00:00:17.466666666666665
525,0,0,0,00:00:17.5
526,0,0,0,00:00:17.53333333333333
527,0,0,0,00:00:17.566666666666666
528,0,0,0,00:00:17.6
529,0,0,0,00:00:17.633333333333333
530,0,0,0,00:00:17.666666666666668
531,1,676,353,00:00:17.7
532,1,673,338,00:00:17.733333333333334
533,1,671,323,00:00:17.766666666666666
534,1,668,311,00:00:17.8
535,1,666,298,00:00:17.833333333333332
536,1,663,286,00:00:17.866666666666667
537,1,661,276,00:00:17.9
538,1,658,266,00:00:17.933333333333334
539,1,656,257,00:00:17.966666666666665
540,1,655,251,00:00:18.0
541,1,651,243,00:00:18.03333333333333
542,1,650,236,00:00:18.066666666666666
543,1,646,231,00:00:18.1
544,1,643,226,00:00:18.133333333333333
545,1,641,223,00:00:18.166666666666668
546,1,638,221,00:00:18.2
547,1,636,218,00:00:18.233333333333334
548,1,633,218,00:00:18.266666666666666
549,1,631,218,00:00:18.3
550,1,627,220,00:00:18.333333333333332
551,1,625,221,00:00:18.366666666666667
552,1,621,226,00:00:18.4
553,1,618,231,00:00:18.433333333333334
554,1,616,236,00:00:18.466666666666665
555,1,613,242,00:00:18.5
556,1,608,251,00:00:18.53333333333333
557,1,606,260,00:00:18.566666666666666
558,1,603,271,00:00:18.6
559,1,601,283,00:00:18.633333333333333
560,1,596,296,00:00:18.666666666666668
561,1,593,310,00:00:18.7
562,1,592,321,00:00:18.733333333333334
563,1,608,298,00:00:18.766666666666666
564,1,616,276,00:00:18.8
565,1,627,268,00:00:18.833333333333332
566,1,635,262,00:00:18.866666666666667
567,1,640,256,00:00:18.9
568,1,645,251,00:00:18.933333333333334
569,1,648,248,00:00:18.966666666666665
570,1,652,248,00:00:19.0
571,1,656,250,00:00:19.03333333333333
572,1,660,248,00:00:19.066666666666666
573,1,661,251,00:00:19.1
574,1,663,251,00:00:19.133333333333333
575,1,666,255,00:00:19.166666666666668
576,1,668,256,00:00:19.2
577,1,670,258,00:00:19.233333333333334
578,1,671,262,00:00:19.266666666666666
579,1,673,266,00:00:19.3
580,1,676,271,00:00:19.333333333333332
581,1,677,275,00:00:19.366666666666667
582,1,678,281,00:00:19.4
583,1,681,286,00:00:19.433333333333334
584,1,681,291,00:00:19.466666666666665
585,1,683,296,00:00:19.5
586,1,686,303,00:00:19.53333333333333
587,1,686,310,00:00:19.566666666666666
588,1,687,316,00:00:19.6
589,1,688,323,00:00:19.633333333333333
590,1,690,330,00:00:19.666666666666668
591,1,691,336,00:00:19.7
592,1,691,343,00:00:19.733333333333334
593,1,693,352,00:00:19.766666666666666
594,1,697,345,00:00:19.8
595,1,698,331,00:00:19.833333333333332
596,1,698,318,00:00:19.866666666666667
597,1,701,306,00:00:19.9
598,1,706,295,00:00:19.933333333333334
599,1,708,286,00:00:19.966666666666665
600,1,711,277,00:00:20.0
601,1,712,271,00:00:20.03333333333333
602,1,716,262,00:00:20.066666666666666
603,1,718,256,00:00:20.1
604,1,721,251,00:00:20.133333333333333
605,1,721,246,00:00:20.166666666666668
606,1,725,241,00:00:20.2
607,1,727,238,00:00:20.233333333333334
608,1,730,237,00:00:20.266666666666666
609,1,731,236,00:00:20.3
610,1,735,235,00:00:20.333333333333332
611,1,737,236,00:00:20.366666666666667
612,1,740,236,00:00:20.4
613,1,741,237,00:00:20.433333333333334
614,1,745,241,00:00:20.466666666666665
615,1,746,246,00:00:20.5
616,1,748,250,00:00:20.53333333333333
617,1,751,256,00:00:20.566666666666666
618,1,755,263,00:00:20.6
619,1,756,271,00:00:20.633333333333333
620,1,758,281,00:00:20.666666666666668
621,1,761,291,00:00:20.7
622,1,763,303,00:00:20.733333333333334
623,1,766,316,00:00:20.766666666666666
624,1,767,328,00:00:20.8
625,1,771,343,00:00:20.833333333333332
626,1,771,358,00:00:20.866666666666667
627,1,772,375,00:00:20.9
628,1,756,355,00:00:20.933333333333334
629,1,745,330,00:00:20.966666666666665
630,1,730,308,00:00:21.0
631,1,726,293,00:00:21.03333333333333
632,1,722,281,00:00:21.066666666666666
633,1,716,271,00:00:21.1
634,1,711,265,00:00:21.133333333333333
635,1,706,258,00:00:21.166666666666668
636,1,701,253,00:00:21.2
637,1,698,251,00:00:21.233333333333334
638,1,696,248,00:00:21.266666666666666
639,1,693,246,00:00:21.3
640,1,691,246,00:00:21.333333333333332
641,1,688,246,00:00:21.366666666666667
642,1,687,247,00:00:21.4
643,1,686,250,00:00:21.433333333333334
644,1,683,251,00:00:21.466666666666665
645,1,682,253,00:00:21.5
646,1,681,256,00:00:21.53333333333333
647,1,678,261,00:00:21.566666666666666
648,1,678,263,00:00:21.6
649,1,677,271,00:00:21.633333333333333
650,1,676,275,00:00:21.666666666666668
651,1,676,281,00:00:21.7
652,1,676,286,00:00:21.733333333333334
653,1,673,291,00:00:21.766666666666666
654,1,673,297,00:00:21.8
655,1,673,306,00:00:21.833333333333332
656,1,673,312,00:00:21.866666666666667
657,1,671,318,00:00:21.9
658,1,671,326,00:00:21.933333333333334
659,1,671,335,00:00:21.966666666666665
660,1,671,341,00:00:22.0
661,1,671,351,00:00:22.03333333333333
662,1,671,357,00:00:22.066666666666666
663,0,0,0,00:00:22.1
664,0,0,0,00:00:22.133333333333333
665,0,0,0,00:00:22.166666666666668
666,0,0,0,00:00:22.2
667,0,0,0,00:00:22.233333333333334
668,0,0,0,00:00:22.266666666666666
669,1,663,343,00:00:22.3
670,1,663,322,00:00:22.333333333333332
671,1,663,305,00:00:22.366666666666667
672,1,661,283,00:00:22.4
673,1,661,267,00:00:22.433333333333334
674,1,658,251,00:00:22.466666666666665
675,1,658,236,00:00:22.5
676,1,656,223,00:00:22.53333333333333
677,1,656,211,00:00:22.566666666666666
678,1,656,198,00:00:22.6
679,1,653,187,00:00:22.633333333333333
680,1,653,176,00:00:22.666666666666668
681,1,651,167,00:00:22.7
682,1,651,158,00:00:22.733333333333334
683,1,650,151,00:00:22.766666666666666
684,1,648,146,00:00:22.8
685,1,646,137,00:00:22.833333333333332
686,1,646,133,00:00:22.866666666666667
687,1,643,131,00:00:22.9
688,1,642,126,00:00:22.933333333333334
689,1,641,123,00:00:22.966666666666665
690,1,641,123,00:00:23.0
691,1,637,122,00:00:23.03333333333333
692,1,636,123,00:00:23.066666666666666
693,1,635,126,00:00:23.1
694,1,632,130,00:00:23.133333333333333
695,1,631,135,00:00:23.166666666666668
696,1,628,141,00:00:23.2
697,1,626,148,00:00:23.233333333333334
698,1,625,157,00:00:23.266666666666666
699,1,623,166,00:00:23.3
700,1,621,178,00:00:23.333333333333332
701,1,620,191,00:00:23.366666666666667
702,1,616,203,00:00:23.4
703,1,616,221,00:00:23.433333333333334
704,1,613,236,00:00:23.466666666666665
705,1,611,253,00:00:23.5
706,1,610,273,00:00:23.53333333333333
707,1,608,292,00:00:23.566666666666666
708,1,606,316,00:00:23.6
709,1,607,332,00:00:23.633333333333333
710,1,628,308,00:00:23.666666666666668
711,1,643,281,00:00:23.7
712,1,653,266,00:00:23.733333333333334
713,1,660,257,00:00:23.766666666666666
714,1,666,251,00:00:23.8
715,1,670,246,00:00:23.833333333333332
716,1,673,243,00:00:23.866666666666667
717,1,676,241,00:00:23.9
718,1,680,240,00:00:23.933333333333334
719,1,682,241,00:00:23.966666666666665
720,1,683,240,00:00:24.0
721,1,686,241,00:00:24.03333333333333
722,1,688,242,00:00:24.066666666666666
723,1,691,246,00:00:24.1
724,1,691,247,00:00:24.133333333333333
725,1,693,251,00:00:24.166666666666668
726,1,695,253,00:00:24.2
727,1,696,257,00:00:24.233333333333334
728,1,698,261,00:00:24.266666666666666
729,1,698,266,00:00:24.3
730,1,701,271,00:00:24.333333333333332
731,1,701,276,00:00:24.366666666666667
732,1,702,281,00:00:24.4
733,1,705,286,00:00:24.433333333333334
734,1,706,291,00:00:24.466666666666665
735,1,706,298,00:00:24.5
736,1,706,305,00:00:24.53333333333333
737,1,708,311,00:00:24.566666666666666
738,1,710,317,00:00:24.6
739,1,711,325,00:00:24.633333333333333
740,1,711,331,00:00:24.666666666666668
