Frame,Visibility,X,Y,Time
166,1,591,208,00:00:05.533333333333333
167,1,590,221,00:00:05.566666666666666
168,1,646,197,00:00:05.6
169,1,667,177,00:00:05.633333333333333
170,1,695,165,00:00:05.666666666666667
171,1,715,160,00:00:05.7
172,1,728,156,00:00:05.733333333333333
173,1,741,151,00:00:05.766666666666667
174,1,752,148,00:00:05.8
175,1,761,147,00:00:05.833333333333333
176,1,771,148,00:00:05.866666666666666
177,1,778,151,00:00:05.9
178,1,783,151,00:00:05.933333333333334
179,1,791,155,00:00:05.966666666666667
180,1,795,156,00:00:06.0
181,1,800,161,00:00:06.033333333333333
182,1,805,163,00:00:06.066666666666666
183,1,810,168,00:00:06.1
184,1,813,173,00:00:06.133333333333333
185,1,816,177,00:00:06.166666666666667
186,1,821,183,00:00:06.2
187,1,823,188,00:00:06.233333333333333
188,1,826,196,00:00:06.266666666666667
189,1,831,201,00:00:06.3
190,1,833,208,00:00:06.333333333333333
191,1,836,216,00:00:06.366666666666666
192,1,837,221,00:00:06.4
193,1,841,228,00:00:06.433333333333334
194,0,0,0,00:00:06.466666666666667
195,0,0,0,00:00:06.5
196,0,0,0,00:00:06.533333333333333
197,1,848,263,00:00:06.566666666666666
198,1,851,272,00:00:06.6
199,1,853,281,00:00:06.633333333333333
200,1,856,291,00:00:06.666666666666667
201,1,856,298,00:00:06.7
202,1,860,308,00:00:06.733333333333333
203,1,861,318,00:00:06.766666666666667
204,1,861,327,00:00:06.8
205,1,865,337,00:00:06.833333333333333
206,1,866,348,00:00:06.866666666666666
207,1,867,357,00:00:06.8999999999999995
208,1,868,368,00:00:06.933333333333334
209,1,870,377,00:00:06.966666666666667
210,1,870,385,00:00:07.0
211,1,867,376,00:00:07.033333333333333
212,1,867,362,00:00:07.066666666666666
213,1,860,351,00:00:07.1
214,1,858,343,00:00:07.133333333333333
215,1,858,336,00:00:07.166666666666667
216,1,853,326,00:00:07.2
217,1,851,321,00:00:07.233333333333333
218,1,846,318,00:00:07.266666666666667
219,1,846,315,00:00:07.3
220,1,843,311,00:00:07.333333333333333
221,1,843,310,00:00:07.366666666666666
222,1,838,306,00:00:07.3999999999999995
223,1,836,306,00:00:07.433333333333334
224,1,833,306,00:00:07.466666666666667
225,1,832,306,00:00:07.5
226,1,831,308,00:00:07.533333333333333
227,1,827,311,00:00:07.566666666666666
228,1,825,316,00:00:07.6
229,1,823,321,00:00:07.633333333333333
230,1,821,326,00:00:07.666666666666667
231,1,818,332,00:00:07.7
232,1,816,341,00:00:07.733333333333333
233,1,813,350,00:00:07.766666666666667
234,1,811,358,00:00:07.8
235,1,808,371,00:00:07.833333333333333
236,1,806,383,00:00:07.866666666666666
237,1,803,396,00:00:07.8999999999999995
238,1,801,410,00:00:07.933333333333334
239,1,800,423,00:00:07.966666666666667
240,0,0,0,00:00:08.0
241,0,0,0,00:00:08.033333333333333
242,0,0,0,00:00:08.066666666666666
243,0,0,0,00:00:08.1
244,0,0,0,00:00:08.133333333333333
245,1,692,360,00:00:08.166666666666666
246,1,681,360,00:00:08.2
247,1,671,358,00:00:08.233333333333333
248,1,661,356,00:00:08.266666666666666
249,1,653,356,00:00:08.3
250,1,646,357,00:00:08.333333333333334
251,1,638,357,00:00:08.366666666666667
252,1,633,360,00:00:08.4
253,1,626,362,00:00:08.433333333333334
254,1,622,366,00:00:08.466666666666667
255,0,0,0,00:00:08.5
256,0,0,0,00:00:08.533333333333333
257,1,608,376,00:00:08.566666666666666
258,1,601,383,00:00:08.6
259,1,596,388,00:00:08.633333333333333
260,1,592,396,00:00:08.666666666666666
261,1,591,401,00:00:08.7
262,1,586,406,00:00:08.733333333333333
263,1,586,410,00:00:08.766666666666666
264,1,578,423,00:00:08.8
265,1,576,431,00:00:08.833333333333334
266,1,573,441,00:00:08.866666666666667
267,1,571,448,00:00:08.9
268,1,568,456,00:00:08.933333333333334
269,1,566,466,00:00:08.966666666666667
270,1,563,475,00:00:09.0
271,1,561,483,00:00:09.033333333333333
272,1,561,490,00:00:09.066666666666666
273,1,561,485,00:00:09.1
274,1,560,481,00:00:09.133333333333333
275,1,558,480,00:00:09.166666666666666
276,1,562,480,00:00:09.2
277,1,562,477,00:00:09.233333333333333
278,1,561,476,00:00:09.266666666666666
279,0,0,0,00:00:09.3
280,0,0,0,00:00:09.333333333333334
281,0,0,0,00:00:09.366666666666667
282,1,561,475,00:00:09.4
283,1,561,476,00:00:09.433333333333334
284,1,561,480,00:00:09.466666666666667
285,1,561,483,00:00:09.5
286,1,560,486,00:00:09.533333333333333
287,1,560,491,00:00:09.566666666666666
288,1,560,490,00:00:09.6
289,1,561,487,00:00:09.633333333333333
290,1,561,486,00:00:09.666666666666666
291,1,560,487,00:00:09.7
292,1,561,488,00:00:09.733333333333333
293,1,561,488,00:00:09.766666666666666
294,0,0,0,00:00:09.8
295,0,0,0,00:00:09.833333333333334
296,1,561,490,00:00:09.866666666666667
297,0,0,0,00:00:09.9
298,0,0,0,00:00:09.933333333333334
299,0,0,0,00:00:09.966666666666667
300,0,0,0,00:00:10.0
301,0,0,0,00:00:10.033333333333333
302,0,0,0,00:00:10.066666666666666
303,0,0,0,00:00:10.1
304,0,0,0,00:00:10.133333333333333
305,0,0,0,00:00:10.166666666666666
306,0,0,0,00:00:10.2
307,0,0,0,00:00:10.233333333333333
308,0,0,0,00:00:10.266666666666666
309,0,0,0,00:00:10.3
310,0,0,0,00:00:10.333333333333334
311,0,0,0,00:00:10.366666666666667
312,0,0,0,00:00:10.4
313,0,0,0,00:00:10.433333333333334
314,0,0,0,00:00:10.466666666666667
315,0,0,0,00:00:10.5
316,0,0,0,00:00:10.533333333333333
317,0,0,0,00:00:10.566666666666666
318,0,0,0,00:00:10.6
319,0,0,0,00:00:10.633333333333333
320,0,0,0,00:00:10.666666666666666
321,0,0,0,00:00:10.7
322,0,0,0,00:00:10.733333333333333
323,0,0,0,00:00:10.766666666666666
324,0,0,0,00:00:10.8
325,0,0,0,00:00:10.833333333333334
326,0,0,0,00:00:10.866666666666667
327,0,0,0,00:00:10.9
328,0,0,0,00:00:10.933333333333334
329,0,0,0,00:00:10.966666666666667
330,0,0,0,00:00:11.0
331,0,0,0,00:00:11.033333333333333
332,0,0,0,00:00:11.066666666666666
333,0,0,0,00:00:11.1
334,0,0,0,00:00:11.133333333333333
335,0,0,0,00:00:11.166666666666666
336,0,0,0,00:00:11.2
337,0,0,0,00:00:11.233333333333333
338,0,0,0,00:00:11.266666666666666
339,0,0,0,00:00:11.3
340,0,0,0,00:00:11.333333333333334
341,0,0,0,00:00:11.366666666666667
342,0,0,0,00:00:11.4
343,0,0,0,00:00:11.433333333333334
344,0,0,0,00:00:11.466666666666667
345,0,0,0,00:00:11.5
346,0,0,0,00:00:11.533333333333333
347,0,0,0,00:00:11.566666666666666
348,0,0,0,00:00:11.6
349,0,0,0,00:00:11.633333333333333
350,0,0,0,00:00:11.666666666666666
351,0,0,0,00:00:11.7
352,0,0,0,00:00:11.733333333333333
353,0,0,0,00:00:11.766666666666666
354,0,0,0,00:00:11.8
355,0,0,0,00:00:11.833333333333334
356,0,0,0,00:00:11.866666666666667
357,0,0,0,00:00:11.9
358,0,0,0,00:00:11.933333333333334
359,0,0,0,00:00:11.966666666666667
360,0,0,0,00:00:12.0
361,0,0,0,00:00:12.033333333333333
362,0,0,0,00:00:12.066666666666666
363,0,0,0,00:00:12.1
364,0,0,0,00:00:12.133333333333333
365,0,0,0,00:00:12.166666666666666
366,0,0,0,00:00:12.2
367,0,0,0,00:00:12.233333333333333
368,0,0,0,00:00:12.266666666666666
369,0,0,0,00:00:12.3
370,0,0,0,00:00:12.333333333333334
371,0,0,0,00:00:12.366666666666667
372,0,0,0,00:00:12.4
373,0,0,0,00:00:12.433333333333334
374,0,0,0,00:00:12.466666666666667
375,0,0,0,00:00:12.5
376,0,0,0,00:00:12.533333333333333
377,0,0,0,00:00:12.566666666666666
378,0,0,0,00:00:12.6
379,0,0,0,00:00:12.633333333333333
380,0,0,0,00:00:12.666666666666666
381,0,0,0,00:00:12.7
382,0,0,0,00:00:12.733333333333333
383,0,0,0,00:00:12.766666666666666
384,0,0,0,00:00:12.8
385,0,0,0,00:00:12.833333333333334
386,0,0,0,00:00:12.866666666666667
387,0,0,0,00:00:12.9
388,0,0,0,00:00:12.933333333333334
389,0,0,0,00:00:12.966666666666667
390,0,0,0,00:00:13.0
391,0,0,0,00:00:13.033333333333333
392,0,0,0,00:00:13.066666666666666
393,0,0,0,00:00:13.1
394,0,0,0,00:00:13.133333333333333
395,0,0,0,00:00:13.166666666666666
396,0,0,0,00:00:13.2
397,0,0,0,00:00:13.233333333333333
398,0,0,0,00:00:13.266666666666666
399,0,0,0,00:00:13.299999999999999
400,0,0,0,00:00:13.333333333333334
401,0,0,0,00:00:13.366666666666667
402,0,0,0,00:00:13.4
403,0,0,0,00:00:13.433333333333334
404,0,0,0,00:00:13.466666666666667
405,0,0,0,00:00:13.5
406,0,0,0,00:00:13.533333333333333
407,0,0,0,00:00:13.566666666666666
408,0,0,0,00:00:13.6
409,0,0,0,00:00:13.633333333333333
410,0,0,0,00:00:13.666666666666666
411,0,0,0,00:00:13.7
412,0,0,0,00:00:13.733333333333333
413,0,0,0,00:00:13.766666666666666
414,0,0,0,00:00:13.799999999999999
415,0,0,0,00:00:13.833333333333334
416,0,0,0,00:00:13.866666666666667
417,0,0,0,00:00:13.9
418,0,0,0,00:00:13.933333333333334
419,0,0,0,00:00:13.966666666666667
420,0,0,0,00:00:14.0
421,0,0,0,00:00:14.033333333333333
422,0,0,0,00:00:14.066666666666666
423,0,0,0,00:00:14.1
424,0,0,0,00:00:14.133333333333333
425,0,0,0,00:00:14.166666666666666
426,0,0,0,00:00:14.2
427,0,0,0,00:00:14.233333333333333
428,0,0,0,00:00:14.266666666666666
429,0,0,0,00:00:14.299999999999999
430,0,0,0,00:00:14.333333333333334
431,0,0,0,00:00:14.366666666666667
432,0,0,0,00:00:14.4
433,0,0,0,00:00:14.433333333333334
434,0,0,0,00:00:14.466666666666667
435,0,0,0,00:00:14.5
436,0,0,0,00:00:14.533333333333333
437,0,0,0,00:00:14.566666666666666
438,0,0,0,00:00:14.6
439,0,0,0,00:00:14.633333333333333
440,1,597,415,00:00:14.666666666666666
441,0,0,0,00:00:14.7
442,0,0,0,00:00:14.733333333333333
443,0,0,0,00:00:14.766666666666666
444,0,0,0,00:00:14.799999999999999
445,0,0,0,00:00:14.833333333333334
446,0,0,0,00:00:14.866666666666667
447,0,0,0,00:00:14.9
448,0,0,0,00:00:14.933333333333334
449,0,0,0,00:00:14.966666666666667
450,1,597,412,00:00:15.0
451,1,598,413,00:00:15.033333333333333
452,1,597,415,00:00:15.066666666666666
453,1,597,418,00:00:15.1
454,1,597,422,00:00:15.133333333333333
455,1,596,426,00:00:15.166666666666666
456,1,597,431,00:00:15.2
457,1,598,433,00:00:15.233333333333333
458,0,0,0,00:00:15.266666666666666
459,0,0,0,00:00:15.299999999999999
460,0,0,0,00:00:15.333333333333334
461,0,0,0,00:00:15.366666666666667
462,1,613,343,00:00:15.4
463,1,617,330,00:00:15.433333333333334
464,1,621,316,00:00:15.466666666666667
465,1,623,305,00:00:15.5
466,1,626,293,00:00:15.533333333333333
467,1,628,283,00:00:15.566666666666666
468,1,631,276,00:00:15.6
469,1,633,266,00:00:15.633333333333333
470,1,636,258,00:00:15.666666666666666
471,1,640,251,00:00:15.7
472,1,641,246,00:00:15.733333333333333
473,1,646,241,00:00:15.766666666666666
474,1,646,238,00:00:15.799999999999999
475,1,650,235,00:00:15.833333333333334
476,1,652,232,00:00:15.866666666666667
477,1,656,231,00:00:15.9
478,1,658,231,00:00:15.933333333333334
479,1,661,233,00:00:15.966666666666667
480,1,662,233,00:00:16.0
481,1,665,237,00:00:16.03333333333333
482,1,667,241,00:00:16.066666666666666
483,1,671,246,00:00:16.1
484,1,671,253,00:00:16.133333333333333
485,1,675,261,00:00:16.166666666666668
486,1,676,271,00:00:16.2
487,1,678,280,00:00:16.233333333333334
488,1,681,291,00:00:16.266666666666666
489,1,681,305,00:00:16.3
490,1,685,316,00:00:16.333333333333332
491,1,688,296,00:00:16.366666666666667
492,1,693,281,00:00:16.4
493,1,692,268,00:00:16.433333333333334
494,1,692,255,00:00:16.466666666666665
495,1,691,248,00:00:16.5
496,1,691,243,00:00:16.53333333333333
497,1,691,241,00:00:16.566666666666666
498,1,691,238,00:00:16.6
499,1,691,236,00:00:16.633333333333333
500,1,691,233,00:00:16.666666666666668
501,1,691,235,00:00:16.7
502,1,691,236,00:00:16.733333333333334
503,1,690,238,00:00:16.766666666666666
504,1,691,238,00:00:16.8
505,1,691,241,00:00:16.833333333333332
506,1,691,246,00:00:16.866666666666667
507,1,691,248,00:00:16.9
508,1,691,253,00:00:16.933333333333334
509,1,691,256,00:00:16.966666666666665
510,1,691,262,00:00:17.0
511,1,691,268,00:00:17.03333333333333
512,1,691,275,00:00:17.066666666666666
513,1,691,281,00:00:17.1
514,1,691,286,00:00:17.133333333333333
515,1,691,293,00:00:17.166666666666668
516,1,691,301,00:00:17.2
517,1,691,308,00:00:17.233333333333334
518,1,691,316,00:00:17.266666666666666
519,1,691,323,00:00:17.3
520,1,691,331,00:00:17.333333333333332
521,1,691,338,00:00:17.366666666666667
522,1,691,348,00:00:17.4
523,1,691,356,00:00:17.433333333333334
524,0,0,0,00:00:17.466666666666665
525,0,0,0,00:00:17.5
526,0,0,0,00:00:17.53333333333333
527,0,0,0,00:00:17.566666666666666
528,0,0,0,00:00:17.6
529,0,0,0,00:00:17.633333333333333
530,0,0,0,00:00:17.666666666666668
531,1,686,355,00:00:17.7
532,1,683,338,00:00:17.733333333333334
533,1,681,323,00:00:17.766666666666666
534,1,678,311,00:00:17.8
535,1,676,298,00:00:17.833333333333332
536,1,673,286,00:00:17.866666666666667
537,1,671,276,00:00:17.9
538,1,670,266,00:00:17.933333333333334
539,1,666,258,00:00:17.966666666666665
540,1,665,251,00:00:18.0
541,1,663,242,00:00:18.03333333333333
542,1,661,237,00:00:18.066666666666666
543,1,657,231,00:00:18.1
544,1,656,226,00:00:18.133333333333333
545,1,653,223,00:00:18.166666666666668
546,1,651,221,00:00:18.2
547,1,648,218,00:00:18.233333333333334
548,1,646,218,00:00:18.266666666666666
549,1,643,218,00:00:18.3
550,1,640,220,00:00:18.333333333333332
551,1,638,222,00:00:18.366666666666667
552,1,636,226,00:00:18.4
553,1,631,231,00:00:18.433333333333334
554,1,628,236,00:00:18.466666666666665
555,1,626,243,00:00:18.5
556,1,623,251,00:00:18.53333333333333
557,1,621,261,00:00:18.566666666666666
558,1,618,272,00:00:18.6
559,1,615,283,00:00:18.633333333333333
560,1,613,295,00:00:18.666666666666668
561,1,608,311,00:00:18.7
562,1,608,321,00:00:18.733333333333334
563,1,622,297,00:00:18.766666666666666
564,1,628,276,00:00:18.8
565,1,640,268,00:00:18.833333333333332
566,1,646,262,00:00:18.866666666666667
567,1,651,256,00:00:18.9
568,1,655,251,00:00:18.933333333333334
569,1,660,248,00:00:18.966666666666665
570,1,662,248,00:00:19.0
571,1,666,248,00:00:19.03333333333333
572,1,668,248,00:00:19.066666666666666
573,1,671,251,00:00:19.1
574,1,673,251,00:00:19.133333333333333
575,1,676,253,00:00:19.166666666666668
576,1,676,256,00:00:19.2
577,1,680,258,00:00:19.233333333333334
578,1,681,262,00:00:19.266666666666666
579,1,683,266,00:00:19.3
580,1,685,271,00:00:19.333333333333332
581,1,686,276,00:00:19.366666666666667
582,1,687,281,00:00:19.4
583,1,688,286,00:00:19.433333333333334
584,1,691,291,00:00:19.466666666666665
585,1,691,296,00:00:19.5
586,1,693,302,00:00:19.53333333333333
587,1,693,308,00:00:19.566666666666666
588,1,696,316,00:00:19.6
589,1,696,323,00:00:19.633333333333333
590,1,698,331,00:00:19.666666666666668
